lat,lon,solar_ghi_raw,depth_m,distance_to_corridor_km,corr_score_raw,wind_ws100m,safety_index,valid_ocean_point,solar_norm,depth_score_raw,depth_norm,corridor_norm,wind_norm,safety_norm,H2_hub_score,Tier,Zone,Within_Zone_Rank,H2_Production_kg_day,Nearest_Reference,Dist_to_Ref_km
7.0,80.0,5.5,-3291.338636835713,0.0,1.0,7.276875569425521,0.875,True,0.0,1.0,1.0,1.0,0.0,1.0,60.00000000000001,1,B — Near-India Regional,1,19543.147208121827,Colombo,18.29457008337616
7.0,72.0,5.5,-4998.251051701419,0.0,1.0,7.276875569425521,0.875,True,0.0,1.0,1.0,1.0,0.0,1.0,60.00000000000001,1,B — Near-India Regional,2,19543.147208121827,Minicoy,183.43338095555666
7.0,71.0,5.5,-3657.376574762349,110.3660757174536,0.7588772889509922,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7585561201333513,0.0,1.0,55.17112240266703,1,B — Near-India Regional,3,19543.147208121827,Minicoy,267.0167590941347
7.0,79.0,5.5,-4035.841266132255,110.3660757174536,0.7588772889509922,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7585561201333513,0.0,1.0,55.17112240266703,1,B — Near-India Regional,4,19543.147208121827,Colombo,94.14051421696982
6.0,72.0,5.5,-3568.0892534959853,111.19492664455872,0.7573064266651235,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7569831655021334,0.0,1.0,55.13966331004268,1,B — Near-India Regional,5,19543.147208121827,Male,262.53206553612864
8.0,71.0,5.5,-4736.8433489197605,156.58110278754708,0.6760739895247802,7.276875569425521,0.875,True,0.0,1.0,1.0,0.6756425289902878,0.0,1.0,53.51285057980576,1,B — Near-India Regional,6,19543.147208121827,Minicoy,227.79032098960786
6.0,79.0,5.5,-3068.6428839409,156.7477249748259,0.6757924258550524,7.276875569425521,0.875,True,0.0,1.0,1.0,0.6753605902854979,0.0,1.0,53.50721180570997,1,B — Near-India Regional,7,19543.147208121827,Galle,134.95215156617135
6.0,73.0,5.5,-4679.18585298669,156.7477249748259,0.6757924258550524,7.276875569425521,0.875,True,0.0,1.0,1.0,0.6753605902854979,0.0,1.0,53.50721180570997,1,B — Near-India Regional,8,19543.147208121827,Male,210.1092928022693
6.0,94.0,5.5,-4676.918764554836,0.0,1.0,7.276875569425521,0.595,True,0.0,1.0,1.0,1.0,0.0,0.3846153846153845,52.61538461538462,3,B — Near-India Regional,9,19543.147208121827,Great Nicobar — Galathea Bay,85.02757454242123
7.0,74.0,5.5,-4110.2486584080525,220.73202658609523,0.5758949194350709,7.276875569425521,0.875,True,0.0,1.0,1.0,0.5753300231352244,0.0,1.0,51.50660046270449,1,B — Near-India Regional,10,19543.147208121827,Minicoy,176.68831335431304
6.0,78.0,5.5,-3707.252141507749,247.3588776028805,0.5388073495185112,7.276875569425521,0.875,True,0.0,1.0,1.0,0.5381930535958441,0.0,1.0,50.763861071916885,1,B — Near-India Regional,11,19543.147208121827,Colombo,229.0704297223401
6.0,74.0,5.5,-3929.972284002711,247.3588776028805,0.5388073495185112,7.276875569425521,0.875,True,0.0,1.0,1.0,0.5381930535958441,0.0,1.0,50.763861071916885,1,B — Near-India Regional,12,19543.147208121827,Male,209.52469138910467
7.0,75.0,5.5,-3951.635024816928,331.0977276823014,0.4370339844868859,7.276875569425521,0.875,True,0.0,1.0,1.0,0.4362841292418625,0.0,1.0,48.72568258483725,1,B — Near-India Regional,13,19543.147208121827,Eight Degree Channel,246.93636581156187
8.0,75.0,5.5,-4897.013783126267,348.918190078118,0.4179909592853218,7.276875569425521,0.875,True,0.0,1.0,1.0,0.4172157392546185,0.0,1.0,48.34431478509237,1,B — Near-India Regional,14,19543.147208121827,Nine Degree Channel,156.39104297508644
6.0,77.0,5.5,-3217.378413650485,349.5909949842125,0.417288484316421,7.276875569425521,0.875,True,0.0,1.0,1.0,0.4165123286083848,0.0,1.0,48.3302465721677,1,B — Near-India Regional,15,19543.147208121827,Eight Degree Channel,222.38985328911747
6.0,95.0,5.5,-3738.602981815068,110.58577386542665,0.7584605935581717,7.276875569425521,0.595,True,0.0,1.0,1.0,0.7581388697137312,0.0,0.3846153846153845,47.77816200965925,3,B — Near-India Regional,16,19543.147208121827,Strait of Malacca North,55.49512664249838
7.0,94.0,5.5,-4186.081153632903,111.19492664455872,0.7573064266651235,7.276875569425521,0.595,True,0.0,1.0,1.0,0.7569831655021334,0.0,0.3846153846153845,47.75504792542729,3,B — Near-India Regional,17,19543.147208121827,Campbell Bay,8.829287711195308
5.0,94.0,5.5,-3381.3404190882056,111.19492664455872,0.7573064266651235,7.276875569425521,0.595,True,0.0,1.0,1.0,0.7569831655021334,0.0,0.3846153846153845,47.75504792542729,3,B — Near-India Regional,18,19543.147208121827,Strait of Malacca North,158.6453541981397
10.0,70.0,5.5,-3203.9167016216816,399.5542865098682,0.368289591715223,7.276875569425521,0.875,True,0.0,1.0,1.0,0.3674481708302403,0.0,1.0,47.3489634166048,1,B — Near-India Regional,19,19543.147208121827,Agatti,256.2748934949904
7.0,76.0,5.5,-4090.827573981198,441.4630539327303,0.3316557867389651,7.276875569425521,0.875,True,0.0,1.0,1.0,0.3307655706335789,0.0,1.0,46.61531141267158,1,B — Near-India Regional,20,19543.147208121827,Eight Degree Channel,156.58110278754708
