lat,lon,solar_ghi_raw,depth_m,distance_to_corridor_km,corr_score_raw,wind_ws100m,safety_index,valid_ocean_point,solar_norm,depth_score_raw,depth_norm,corridor_norm,wind_norm,safety_norm,H2_hub_score,Tier,Zone
7.0,72.0,5.5,-4998.251051701419,0.0,1.0,7.276875569425521,0.875,True,0.0,1.0,1.0,1.0,0.0,1.0,60.00000000000001,1,B — Near-India Regional
7.0,80.0,5.5,-3291.338636835713,0.0,1.0,7.276875569425521,0.875,True,0.0,1.0,1.0,1.0,0.0,1.0,60.00000000000001,1,B — Near-India Regional
7.0,73.0,5.5,-3820.819760197539,110.3660757174536,0.7588772889509922,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7585561201333513,0.0,1.0,55.17112240266703,1,A — Indian Coast
7.0,79.0,5.5,-4035.841266132255,110.3660757174536,0.7588772889509922,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7585561201333513,0.0,1.0,55.17112240266703,1,B — Near-India Regional
7.0,71.0,5.5,-3657.376574762349,110.3660757174536,0.7588772889509922,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7585561201333513,0.0,1.0,55.17112240266703,1,B — Near-India Regional
8.0,72.0,5.5,-3460.2238894696184,111.19492664455872,0.7573064266651235,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7569831655021334,0.0,1.0,55.13966331004268,1,A — Indian Coast
6.0,72.0,5.5,-3568.0892534959853,111.19492664455872,0.7573064266651235,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7569831655021334,0.0,1.0,55.13966331004268,1,B — Near-India Regional
8.0,71.0,5.5,-4736.8433489197605,156.58110278754708,0.6760739895247802,7.276875569425521,0.875,True,0.0,1.0,1.0,0.6756425289902878,0.0,1.0,53.51285057980576,1,B — Near-India Regional
8.0,73.0,5.5,-4816.277173978605,156.58110278754708,0.6760739895247802,7.276875569425521,0.875,True,0.0,1.0,1.0,0.6756425289902878,0.0,1.0,53.51285057980576,1,A — Indian Coast
6.0,79.0,5.5,-3068.6428839409,156.7477249748259,0.6757924258550524,7.276875569425521,0.875,True,0.0,1.0,1.0,0.6753605902854979,0.0,1.0,53.50721180570997,1,B — Near-India Regional
6.0,73.0,5.5,-4679.18585298669,156.7477249748259,0.6757924258550524,7.276875569425521,0.875,True,0.0,1.0,1.0,0.6753605902854979,0.0,1.0,53.50721180570997,1,B — Near-India Regional
6.0,94.0,5.5,-4676.918764554836,0.0,1.0,7.276875569425521,0.595,True,0.0,1.0,1.0,1.0,0.0,0.3846153846153845,52.61538461538462,3,B — Near-India Regional
7.0,78.0,5.5,-4825.280562550636,220.73202658609523,0.5758949194350709,7.276875569425521,0.875,True,0.0,1.0,1.0,0.5753300231352244,0.0,1.0,51.50660046270449,1,A — Indian Coast
7.0,74.0,5.5,-4110.2486584080525,220.73202658609523,0.5758949194350709,7.276875569425521,0.875,True,0.0,1.0,1.0,0.5753300231352244,0.0,1.0,51.50660046270449,1,B — Near-India Regional
8.0,74.0,5.5,-3901.412767797369,246.93636581156187,0.5393767813511984,7.276875569425521,0.875,True,0.0,1.0,1.0,0.538763243896067,0.0,1.0,50.775264877921344,1,A — Indian Coast
6.0,78.0,5.5,-3707.252141507749,247.3588776028805,0.5388073495185112,7.276875569425521,0.875,True,0.0,1.0,1.0,0.5381930535958441,0.0,1.0,50.763861071916885,1,B — Near-India Regional
6.0,74.0,5.5,-3929.972284002711,247.3588776028805,0.5388073495185112,7.276875569425521,0.875,True,0.0,1.0,1.0,0.5381930535958441,0.0,1.0,50.763861071916885,1,B — Near-India Regional
